category,event_ticker,event_title,market_ticker,market_title,yes_bid,yes_ask,mid_yes,last_price,spread_yes,liquidity,tick_size,close_time,time_to_close_hours
Politics,KXPOILIEVREOUT-26FEB15,Pierre Poilievre out as Conservative Party leader?,KXPOILIEVREOUT-26FEB15,"Before Feb 15, 2026",0.0,0.01,0.01,0.01,,3438.22,1,2026-02-15 04:59:00+00:00,120.53
Politics,KXVOTEBONDIIMPEACH,Will the House vote on any resolution impeaching Pam Bondi?,KXVOTEBONDIIMPEACH-26-FEB13,"Before Feb 13, 2026",0.01,0.02,0.015,0.01,0.01,1543.1,1,2026-02-13 15:00:00+00:00,82.55
Sports,KXNBAGAME-26FEB05GSWPHX,Golden State at Phoenix,KXNBAGAME-26FEB05GSWPHX-PHX,Phoenix,0.65,0.66,0.655,0.66,0.01,4971557.54,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBAGAME-26FEB05GSWPHX,Golden State at Phoenix,KXNBAGAME-26FEB05GSWPHX-GSW,Golden State,0.34,0.35,0.345,0.35,0.01,4473548.86,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBAGAME-26FEB05PHILAL,Philadelphia at Los Angeles L,KXNBAGAME-26FEB05PHILAL-LAL,Los Angeles L,0.56,0.57,0.565,0.57,0.01,4347494.45,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBAGAME-26FEB05PHILAL,Philadelphia at Los Angeles L,KXNBAGAME-26FEB05PHILAL-PHI,Philadelphia,0.44,0.45,0.445,0.45,0.01,4299527.66,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNHLGAME-26FEB05LAVGK,Los Angeles at Vegas,KXNHLGAME-26FEB05LAVGK-VGK,VGK Golden Knights,0.56,0.57,0.565,0.57,0.01,3299900.67,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNCAAMBGAME-26FEB05UCSBUCD,UC Santa Barbara at UC Davis,KXNCAAMBGAME-26FEB05UCSBUCD-UCSB,UC Santa Barbara,0.4,0.42,0.41,0.41,0.02,3124189.21,1,2026-02-20 02:00:00+00:00,237.55
Sports,KXNCAAMBGAME-26FEB05UCSBUCD,UC Santa Barbara at UC Davis,KXNCAAMBGAME-26FEB05UCSBUCD-UCD,UC Davis,0.58,0.6,0.59,0.6,0.02,3121696.48,1,2026-02-20 02:00:00+00:00,237.55
Sports,KXNHLGAME-26FEB05LAVGK,Los Angeles at Vegas,KXNHLGAME-26FEB05LAVGK-LA,LA Kings,0.44,0.45,0.445,0.45,0.01,3074789.14,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBAGAME-26FEB05SASDAL,San Antonio at Dallas,KXNBAGAME-26FEB05SASDAL-SAS,San Antonio,0.88,0.9,0.89,0.89,0.02,2935862.83,1,2026-02-20 01:30:00+00:00,237.05
Sports,KXNBASPREAD-26FEB05SASDAL,San Antonio at Dallas: Spread,KXNBASPREAD-26FEB05SASDAL-DAL10,Dallas wins by over 10.5 Points,0.02,0.04,0.03,0.03,0.02,2859099.67,1,2026-02-20 01:30:00+00:00,237.05
Sports,KXNBAGAME-26FEB05CHAHOU,Charlotte at Houston,KXNBAGAME-26FEB05CHAHOU-CHA,Charlotte,0.83,0.84,0.835,0.84,0.01,2775733.99,1,2026-02-20 01:00:00+00:00,236.55
Sports,KXNBAGAME-26FEB05CHAHOU,Charlotte at Houston,KXNBAGAME-26FEB05CHAHOU-HOU,Houston,0.15,0.17,0.16,0.17,0.02,2754173.38,1,2026-02-20 01:00:00+00:00,236.55
Sports,KXNCAAMBSPREAD-26FEB05MEMUAB,Memphis at UAB: Spread,KXNCAAMBSPREAD-26FEB05MEMUAB-UAB16,UAB wins by over 16.5 Points,0.02,0.06,0.04,0.02,0.04,2753966.39,1,2026-02-20 02:00:00+00:00,237.55
Sports,KXNBASPREAD-26FEB05PHILAL,Philadelphia at Los Angeles L: Spread,KXNBASPREAD-26FEB05PHILAL-PHI11,Philadelphia wins by over 11.5 Points,0.14,0.16,0.15,0.16,0.02,2681114.26,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBASPREAD-26FEB05GSWPHX,Golden State at Phoenix: Spread,KXNBASPREAD-26FEB05GSWPHX-GSW9,Golden State wins by over 9.5 Points,0.12,0.15,0.135,0.15,0.03,2680473.94,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBASPREAD-26FEB05PHILAL,Philadelphia at Los Angeles L: Spread,KXNBASPREAD-26FEB05PHILAL-LAL19,Los Angeles L wins by over 19.5 Points,0.07,0.1,0.085,0.07,0.03,2679026.78,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBASPREAD-26FEB05GSWPHX,Golden State at Phoenix: Spread,KXNBASPREAD-26FEB05GSWPHX-PHX21,Phoenix wins by over 21.5 Points,0.1,0.12,0.11,0.12,0.02,2676975.78,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBAGAME-26FEB05SASDAL,San Antonio at Dallas,KXNBAGAME-26FEB05SASDAL-DAL,Dallas,0.1,0.11,0.105,0.1,0.01,2654145.43,1,2026-02-20 01:30:00+00:00,237.05
Sports,KXNCAAWBGAME-26FEB05LSUTEX,LSU at Texas,KXNCAAWBGAME-26FEB05LSUTEX-LSU,LSU,0.42,0.45,0.435,0.41,0.03,2615922.6,1,2026-02-20 02:00:00+00:00,237.55
Sports,KXNCAAWBGAME-26FEB05LSUTEX,LSU at Texas,KXNCAAWBGAME-26FEB05LSUTEX-TEX,Texas,0.54,0.56,0.55,0.56,0.02,2613065.99,1,2026-02-20 02:00:00+00:00,237.55
Sports,KXNBASPREAD-26FEB05GSWPHX,Golden State at Phoenix: Spread,KXNBASPREAD-26FEB05GSWPHX-PHX6,Phoenix wins by over 6.5 Points,0.46,0.47,0.465,0.47,0.01,2456877.82,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNCAAMBSPREAD-26FEB05MEMUAB,Memphis at UAB: Spread,KXNCAAMBSPREAD-26FEB05MEMUAB-UAB13,UAB wins by over 13.5 Points,0.02,0.06,0.04,0.03,0.04,2436270.48,1,2026-02-20 02:00:00+00:00,237.55
Sports,KXNCAAWBGAME-26FEB05OSUWASH,Ohio St. at Washington,KXNCAAWBGAME-26FEB05OSUWASH-OSU,Ohio St.,0.64,0.66,0.65,0.66,0.02,2403394.93,1,2026-02-20 02:00:00+00:00,237.55
Sports,KXNCAAWBGAME-26FEB05OSUWASH,Ohio St. at Washington,KXNCAAWBGAME-26FEB05OSUWASH-WASH,Washington,0.32,0.35,0.335,0.35,0.03,2402465.1,1,2026-02-20 02:00:00+00:00,237.55
Sports,KXNBASPREAD-26FEB05SASDAL,San Antonio at Dallas: Spread,KXNBASPREAD-26FEB05SASDAL-DAL7,Dallas wins by over 7.5 Points,0.03,0.04,0.035,0.03,0.01,2335605.62,1,2026-02-20 01:30:00+00:00,237.05
Sports,KXNBASPREAD-26FEB05PHILAL,Philadelphia at Los Angeles L: Spread,KXNBASPREAD-26FEB05PHILAL-PHI8,Philadelphia wins by over 8.5 Points,0.21,0.22,0.215,0.24,0.01,2332419.76,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBASPREAD-26FEB05PHILAL,Philadelphia at Los Angeles L: Spread,KXNBASPREAD-26FEB05PHILAL-LAL16,Los Angeles L wins by over 16.5 Points,0.11,0.13,0.12,0.14,0.02,2331692.29,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBASPREAD-26FEB05GSWPHX,Golden State at Phoenix: Spread,KXNBASPREAD-26FEB05GSWPHX-GSW6,Golden State wins by over 6.5 Points,0.18,0.2,0.19,0.21,0.02,2329920.99,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBASPREAD-26FEB05GSWPHX,Golden State at Phoenix: Spread,KXNBASPREAD-26FEB05GSWPHX-PHX18,Phoenix wins by over 18.5 Points,0.15,0.17,0.16,0.13,0.02,2329587.27,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBASPREAD-26FEB05SASDAL,San Antonio at Dallas: Spread,KXNBASPREAD-26FEB05SASDAL-SAS20,San Antonio wins by over 20.5 Points,0.21,0.22,0.215,0.19,0.01,2313447.02,1,2026-02-20 01:30:00+00:00,237.05
Sports,KXNCAAMBGAME-26FEB05MEMUAB,Memphis at UAB,KXNCAAMBGAME-26FEB05MEMUAB-MEM,Memphis,0.67,0.68,0.675,0.68,0.01,2309834.18,1,2026-02-20 02:00:00+00:00,237.55
Sports,KXNCAAMBGAME-26FEB05MEMUAB,Memphis at UAB,KXNCAAMBGAME-26FEB05MEMUAB-UAB,UAB,0.29,0.3,0.295,0.3,0.01,2302626.02,1,2026-02-20 02:00:00+00:00,237.55
Sports,KXNBASPREAD-26FEB05PHILAL,Philadelphia at Los Angeles L: Spread,KXNBASPREAD-26FEB05PHILAL-LAL1,Los Angeles L wins by over 1.5 Points,0.53,0.54,0.535,0.54,0.01,2289160.11,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNCAAMBGAME-26FEB05CSNCP,Cal State Northridge at Cal Poly,KXNCAAMBGAME-26FEB05CSNCP-CSN,Cal State Northridge,0.56,0.57,0.565,0.57,0.01,2246886.02,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNCAAMBGAME-26FEB05CSNCP,Cal State Northridge at Cal Poly,KXNCAAMBGAME-26FEB05CSNCP-CP,Cal Poly,0.44,0.45,0.445,0.45,0.01,2242233.97,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBASPREAD-26FEB05PHILAL,Philadelphia at Los Angeles L: Spread,KXNBASPREAD-26FEB05PHILAL-LAL4,Los Angeles L wins by over 4.5 Points,0.41,0.43,0.42,0.43,0.02,2212364.23,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBASPREAD-26FEB05GSWPHX,Golden State at Phoenix: Spread,KXNBASPREAD-26FEB05GSWPHX-PHX3,Phoenix wins by over 3.5 Points,0.58,0.59,0.585,0.59,0.01,2157665.57,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNCAAMBSPREAD-26FEB05MEMUAB,Memphis at UAB: Spread,KXNCAAMBSPREAD-26FEB05MEMUAB-UAB10,UAB wins by over 10.5 Points,0.04,0.1,0.07,0.05,0.06,2117983.15,1,2026-02-20 02:00:00+00:00,237.55
Sports,KXNBASPREAD-26FEB05PHILAL,Philadelphia at Los Angeles L: Spread,KXNBASPREAD-26FEB05PHILAL-PHI2,Philadelphia wins by over 2.5 Points,0.38,0.4,0.39,0.4,0.02,2043232.44,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBASPREAD-26FEB05PHILAL,Philadelphia at Los Angeles L: Spread,KXNBASPREAD-26FEB05PHILAL-LAL7,Los Angeles L wins by over 7.5 Points,0.3,0.35,0.325,0.3,0.05,2032873.27,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBASPREAD-26FEB05GSWPHX,Golden State at Phoenix: Spread,KXNBASPREAD-26FEB05GSWPHX-PHX9,Phoenix wins by over 9.5 Points,0.35,0.38,0.365,0.38,0.03,2028246.97,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBASPREAD-26FEB05PHILAL,Philadelphia at Los Angeles L: Spread,KXNBASPREAD-26FEB05PHILAL-LAL10,Los Angeles L wins by over 10.5 Points,0.23,0.26,0.245,0.23,0.03,2005942.21,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBASPREAD-26FEB05GSWPHX,Golden State at Phoenix: Spread,KXNBASPREAD-26FEB05GSWPHX-PHX12,Phoenix wins by over 12.5 Points,0.29,0.3,0.295,0.3,0.01,2004358.11,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNCAAMBSPREAD-26FEB05TARLCBU,Tarleton St. at California Baptist: Spread,KXNCAAMBSPREAD-26FEB05TARLCBU-TARL5,Tarleton St. wins by over 5.5 Points,0.03,0.11,0.07,0.0,0.08,1977945.13,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNCAAMBSPREAD-26FEB05LBSUUCSD,Long Beach St. at UC San Diego: Spread,KXNCAAMBSPREAD-26FEB05LBSUUCSD-LBSU6,Long Beach St. wins by over 6.5 Points,0.03,0.12,0.075,0.0,0.09,1977304.03,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNCAAMBSPREAD-26FEB05CSNCP,Cal State Northridge at Cal Poly: Spread,KXNCAAMBSPREAD-26FEB05CSNCP-CP14,Cal Poly wins by over 14.5 Points,0.03,0.11,0.07,0.0,0.08,1976843.7,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNCAAMBGAME-26FEB05OSUMD,Ohio St. at Maryland,KXNCAAMBGAME-26FEB05OSUMD-OSU,Ohio St.,0.92,0.93,0.925,0.93,0.01,1974952.2,1,2026-02-20 01:30:00+00:00,237.05
Sports,KXNCAAMBGAME-26FEB05OSUMD,Ohio St. at Maryland,KXNCAAMBGAME-26FEB05OSUMD-MD,Maryland,0.07,0.08,0.075,0.07,0.01,1971255.47,1,2026-02-20 01:30:00+00:00,237.05
Sports,KXNCAAMBGAME-26FEB05UCRVCSF,UC Riverside at Cal State Fullerton,KXNCAAMBGAME-26FEB05UCRVCSF-UCRV,UC Riverside,0.29,0.3,0.295,0.3,0.01,1968710.15,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNCAAMBGAME-26FEB05UCRVCSF,UC Riverside at Cal State Fullerton,KXNCAAMBGAME-26FEB05UCRVCSF-CSF,Cal State Fullerton,0.7,0.71,0.705,0.71,0.01,1967889.17,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNCAAMBSPREAD-26FEB05JVSTWKU,Jacksonville St. at Western Kentucky: Spread,KXNCAAMBSPREAD-26FEB05JVSTWKU-JVST12,Jacksonville St. wins by over 12.5 Points,0.03,0.08,0.055,0.0,0.05,1951365.96,1,2026-02-20 02:00:00+00:00,237.55
Sports,KXNCAAMBSPREAD-26FEB05EWUMONT,Eastern Washington at Montana: Spread,KXNCAAMBSPREAD-26FEB05EWUMONT-EWU9,Eastern Washington wins by over 9.5 Points,0.03,0.09,0.06,0.0,0.06,1866966.57,1,2026-02-20 02:00:00+00:00,237.55
Sports,KXNCAAMBSPREAD-26FEB05UCSBUCD,UC Santa Barbara at UC Davis: Spread,KXNCAAMBSPREAD-26FEB05UCSBUCD-UCD13,UC Davis wins by over 13.5 Points,0.03,0.25,0.14,0.0,0.22,1856936.34,1,2026-02-20 02:00:00+00:00,237.55
Sports,KXNCAAMBSPREAD-26FEB05UCRVCSF,UC Riverside at Cal State Fullerton: Spread,KXNCAAMBSPREAD-26FEB05UCRVCSF-UCRV9,UC Riverside wins by over 9.5 Points,0.04,0.12,0.08,0.0,0.08,1855151.58,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNCAAMBSPREAD-26FEB05CSBUCI,Cal State Bakersfield at UC Irvine: Spread,KXNCAAMBSPREAD-26FEB05CSBUCI-UCI31,UC Irvine wins by over 31.5 Points,0.05,0.15,0.1,0.0,0.1,1854771.51,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNCAAMBSPREAD-26FEB05UCRVCSF,UC Riverside at Cal State Fullerton: Spread,KXNCAAMBSPREAD-26FEB05UCRVCSF-CSF21,Cal State Fullerton wins by over 21.5 Points,0.03,0.11,0.07,0.0,0.08,1852416.81,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNCAAMBSPREAD-26FEB05IDHOMTST,Idaho at Montana St.: Spread,KXNCAAMBSPREAD-26FEB05IDHOMTST-IDHO12,Idaho wins by over 12.5 Points,0.02,0.06,0.04,0.02,0.04,1848748.84,1,2026-02-20 02:00:00+00:00,237.55
Sports,KXNCAAMBGAME-26FEB06LCHIDAV,Loyola Chicago at Davidson,KXNCAAMBGAME-26FEB06LCHIDAV-LCHI,Loyola Chicago,0.12,0.13,0.125,0.13,0.01,1845866.06,1,2026-02-20 23:00:00+00:00,258.55
Sports,KXNCAAMBGAME-26FEB06LCHIDAV,Loyola Chicago at Davidson,KXNCAAMBGAME-26FEB06LCHIDAV-DAV,Davidson,0.86,0.87,0.865,0.87,0.01,1844246.04,1,2026-02-20 23:00:00+00:00,258.55
Sports,KXNCAAMBSPREAD-26FEB05MEMUAB,Memphis at UAB: Spread,KXNCAAMBSPREAD-26FEB05MEMUAB-UAB7,UAB wins by over 7.5 Points,0.08,0.13,0.105,0.06,0.05,1835084.3,1,2026-02-20 02:00:00+00:00,237.55
Sports,KXNBASPREAD-26FEB05SASDAL,San Antonio at Dallas: Spread,KXNBASPREAD-26FEB05SASDAL-DAL4,Dallas wins by over 4.5 Points,0.05,0.06,0.055,0.06,0.01,1829302.56,1,2026-02-20 01:30:00+00:00,237.05
Sports,KXNBATOTAL-26FEB05GSWPHX,Golden State at Phoenix: Total Points,KXNBATOTAL-26FEB05GSWPHX-214,Over 214.5 points scored,0.47,0.48,0.475,0.48,0.01,1805651.65,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBATOTAL-26FEB05PHILAL,Philadelphia at Los Angeles L: Total Points,KXNBATOTAL-26FEB05PHILAL-235,Over 235.5 points scored,0.51,0.52,0.515,0.51,0.01,1802800.51,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBASPREAD-26FEB05PHILAL,Philadelphia at Los Angeles L: Spread,KXNBASPREAD-26FEB05PHILAL-LAL13,Los Angeles L wins by over 13.5 Points,0.15,0.18,0.165,0.2,0.03,1785376.24,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBASPREAD-26FEB05PHILAL,Philadelphia at Los Angeles L: Spread,KXNBASPREAD-26FEB05PHILAL-PHI5,Philadelphia wins by over 5.5 Points,0.29,0.32,0.305,0.32,0.03,1784320.12,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBASPREAD-26FEB05GSWPHX,Golden State at Phoenix: Spread,KXNBASPREAD-26FEB05GSWPHX-PHX15,Phoenix wins by over 15.5 Points,0.21,0.23,0.22,0.24,0.02,1783827.46,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBASPREAD-26FEB05GSWPHX,Golden State at Phoenix: Spread,KXNBASPREAD-26FEB05GSWPHX-GSW3,Golden State wins by over 3.5 Points,0.25,0.26,0.255,0.24,0.01,1782433.5,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNCAAMBSPREAD-26FEB05LBSUUCSD,Long Beach St. at UC San Diego: Spread,KXNCAAMBSPREAD-26FEB05LBSUUCSD-UCSD24,UC San Diego wins by over 24.5 Points,0.05,0.16,0.105,0.0,0.11,1764752.74,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNCAAMBSPREAD-26FEB05TARLCBU,Tarleton St. at California Baptist: Spread,KXNCAAMBSPREAD-26FEB05TARLCBU-CBU25,California Baptist wins by over 25.5 Points,0.03,0.13,0.08,0.0,0.1,1764061.96,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNCAAMBSPREAD-26FEB05CSNCP,Cal State Northridge at Cal Poly: Spread,KXNCAAMBSPREAD-26FEB05CSNCP-CSN16,Cal State Northridge wins by over 16.5 Points,0.03,0.11,0.07,0.0,0.08,1763773.56,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNCAAMBSPREAD-26FEB05UNCOWEB,Northern Colorado at Weber St.: Spread,KXNCAAMBSPREAD-26FEB05UNCOWEB-UNCO16,Northern Colorado wins by over 16.5 Points,0.08,0.16,0.12,0.36,0.08,1757403.81,1,2026-02-20 02:00:00+00:00,237.55
Sports,KXNBATOTAL-26FEB05SASDAL,San Antonio at Dallas: Total Points,KXNBATOTAL-26FEB05SASDAL-212,Over 212.5 points scored,0.96,1.0,0.98,0.99,0.04,1750766.42,1,2026-02-20 01:30:00+00:00,237.05
Sports,KXNCAAMBGAME-26JAN29SFPACHS,St. Francis (PA) at Chicago St.,KXNCAAMBGAME-26JAN29SFPACHS-SFPA,St. Francis (PA),0.43,0.49,0.46,0.49,0.06,1750103.27,1,2026-02-13 00:00:00+00:00,67.55
Sports,KXNCAAMBGAME-26JAN29SFPACHS,St. Francis (PA) at Chicago St.,KXNCAAMBGAME-26JAN29SFPACHS-CHS,Chicago St.,0.54,0.6,0.57,0.54,0.06,1748395.68,1,2026-02-13 00:00:00+00:00,67.55
Sports,KXNBATOTAL-26FEB05PHILAL,Philadelphia at Los Angeles L: Total Points,KXNBATOTAL-26FEB05PHILAL-217,Over 217.5 points scored,0.84,0.85,0.845,0.85,0.01,1748158.64,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNCAAMBSPREAD-26FEB05UNCOWEB,Northern Colorado at Weber St.: Spread,KXNCAAMBSPREAD-26FEB05UNCOWEB-WEB14,Weber St. wins by over 14.5 Points,0.03,0.05,0.04,0.03,0.02,1734192.78,1,2026-02-20 02:00:00+00:00,237.55
Sports,KXNCAAMBSPREAD-26FEB05NAUIDST,Northern Arizona at Idaho St.: Spread,KXNCAAMBSPREAD-26FEB05NAUIDST-IDST23,Idaho St. wins by over 23.5 Points,0.03,0.06,0.045,0.0,0.03,1734078.47,1,2026-02-20 02:00:00+00:00,237.55
Sports,KXNBATOTAL-26FEB05SASDAL,San Antonio at Dallas: Total Points,KXNBATOTAL-26FEB05SASDAL-209,Over 209.5 points scored,0.96,1.0,0.98,0.99,0.04,1724993.73,1,2026-02-20 01:30:00+00:00,237.05
Sports,KXNBATOTAL-26FEB05SASDAL,San Antonio at Dallas: Total Points,KXNBATOTAL-26FEB05SASDAL-215,Over 215.5 points scored,0.96,1.0,0.98,0.99,0.04,1718808.45,1,2026-02-20 01:30:00+00:00,237.05
Sports,KXNBATOTAL-26FEB05GSWPHX,Golden State at Phoenix: Total Points,KXNBATOTAL-26FEB05GSWPHX-235,Over 235.5 points scored,0.12,0.14,0.13,0.13,0.02,1712531.27,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNCAAMBSPREAD-26FEB05NAUIDST,Northern Arizona at Idaho St.: Spread,KXNCAAMBSPREAD-26FEB05NAUIDST-NAU7,Northern Arizona wins by over 7.5 Points,0.09,0.23,0.16,0.23,0.14,1692670.77,1,2026-02-20 02:00:00+00:00,237.55
Sports,KXNBATOTAL-26FEB05SASDAL,San Antonio at Dallas: Total Points,KXNBATOTAL-26FEB05SASDAL-218,Over 218.5 points scored,0.97,1.0,0.985,0.99,0.03,1689062.55,1,2026-02-20 01:30:00+00:00,237.05
Sports,KXNBATOTAL-26FEB05PHILAL,Philadelphia at Los Angeles L: Total Points,KXNBATOTAL-26FEB05PHILAL-247,Over 247.5 points scored,0.27,0.28,0.275,0.28,0.01,1684038.24,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBATOTAL-26FEB05GSWPHX,Golden State at Phoenix: Total Points,KXNBATOTAL-26FEB05GSWPHX-232,Over 232.5 points scored,0.14,0.17,0.155,0.18,0.03,1681248.89,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBATOTAL-26FEB05SASDAL,San Antonio at Dallas: Total Points,KXNBATOTAL-26FEB05SASDAL-221,Over 221.5 points scored,0.96,0.99,0.975,0.99,0.03,1673991.67,1,2026-02-20 01:30:00+00:00,237.05
Sports,KXNCAAMBSPREAD-26FEB05JVSTWKU,Jacksonville St. at Western Kentucky: Spread,KXNCAAMBSPREAD-26FEB05JVSTWKU-JVST9,Jacksonville St. wins by over 9.5 Points,0.03,0.11,0.07,0.1,0.08,1669941.6,1,2026-02-20 02:00:00+00:00,237.55
Sports,KXNCAAMBSPREAD-26FEB05LBSUUCSD,Long Beach St. at UC San Diego: Spread,KXNCAAMBSPREAD-26FEB05LBSUUCSD-LBSU3,Long Beach St. wins by over 3.5 Points,0.09,0.16,0.125,0.0,0.07,1665944.12,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNCAAMBSPREAD-26FEB05CSNCP,Cal State Northridge at Cal Poly: Spread,KXNCAAMBSPREAD-26FEB05CSNCP-CP11,Cal Poly wins by over 11.5 Points,0.12,0.15,0.135,0.0,0.03,1665899.94,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNCAAMBSPREAD-26FEB05TARLCBU,Tarleton St. at California Baptist: Spread,KXNCAAMBSPREAD-26FEB05TARLCBU-TARL2,Tarleton St. wins by over 2.5 Points,0.08,0.13,0.105,0.19,0.05,1665145.74,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNCAAMBSPREAD-26FEB05CSBUCI,Cal State Bakersfield at UC Irvine: Spread,KXNCAAMBSPREAD-26FEB05CSBUCI-UCI1,UC Irvine wins by over 1.5 Points,0.88,0.97,0.925,0.0,0.09,1660291.62,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBATOTAL-26FEB05SASDAL,San Antonio at Dallas: Total Points,KXNBATOTAL-26FEB05SASDAL-224,Over 224.5 points scored,0.95,0.99,0.97,0.96,0.04,1660040.08,1,2026-02-20 01:30:00+00:00,237.05
Sports,KXNBATOTAL-26FEB05SASDAL,San Antonio at Dallas: Total Points,KXNBATOTAL-26FEB05SASDAL-227,Over 227.5 points scored,0.94,0.97,0.955,0.94,0.03,1658006.36,1,2026-02-20 01:30:00+00:00,237.05
Sports,KXNCAAWBGAME-26JAN31ARSTGASO,Arkansas St. at Georgia Southern,KXNCAAWBGAME-26JAN31ARSTGASO-ARST,Arkansas St.,0.38,0.53,0.455,0.42,0.15,1655329.88,1,2026-02-14 19:00:00+00:00,110.55
Sports,KXNCAAMBSPREAD-26FEB05EWUMONT,Eastern Washington at Montana: Spread,KXNCAAMBSPREAD-26FEB05EWUMONT-MONT21,Montana wins by over 21.5 Points,0.03,0.09,0.06,0.11,0.06,1650474.12,1,2026-02-20 02:00:00+00:00,237.55
Sports,KXNCAAMBSPREAD-26FEB05UCSBUCD,UC Santa Barbara at UC Davis: Spread,KXNCAAMBSPREAD-26FEB05UCSBUCD-UCSB17,UC Santa Barbara wins by over 17.5 Points,0.03,0.06,0.045,0.0,0.03,1650275.93,1,2026-02-20 02:00:00+00:00,237.55
Sports,KXNBATOTAL-26FEB05PHILAL,Philadelphia at Los Angeles L: Total Points,KXNBATOTAL-26FEB05PHILAL-244,Over 244.5 points scored,0.32,0.34,0.33,0.32,0.02,1649262.16,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBATOTAL-26FEB05SASDAL,San Antonio at Dallas: Total Points,KXNBATOTAL-26FEB05SASDAL-230,Over 230.5 points scored,0.85,0.95,0.9,0.94,0.1,1646990.62,1,2026-02-20 01:30:00+00:00,237.05
Sports,KXNBATOTAL-26FEB05GSWPHX,Golden State at Phoenix: Total Points,KXNBATOTAL-26FEB05GSWPHX-217,Over 217.5 points scored,0.39,0.42,0.405,0.42,0.03,1646132.4,1,2026-02-20 03:00:00+00:00,238.55
Sports,KXNBAGAME-26FEB05CHITOR,Chicago at Toronto,KXNBAGAME-26FEB05CHITOR-TOR,Toronto,0.99,1.0,0.995,0.99,0.01,1645587.9,1,2026-02-20 00:30:00+00:00,236.05
Sports,KXNBAGAME-26FEB05CHITOR,Chicago at Toronto,KXNBAGAME-26FEB05CHITOR-CHI,Chicago,0.0,0.01,0.01,0.01,,1643529.01,1,2026-02-20 00:30:00+00:00,236.05
Sports,KXNCAAWBGAME-26FEB05MISSALA,Ole Miss at Alabama,KXNCAAWBGAME-26FEB05MISSALA-ALA,Alabama,0.38,0.4,0.39,0.4,0.02,1638021.99,1,2026-02-20 02:00:00+00:00,237.55
Sports,KXNCAAWBGAME-26FEB05MISSALA,Ole Miss at Alabama,KXNCAAWBGAME-26FEB05MISSALA-MISS,Ole Miss,0.58,0.61,0.595,0.56,0.03,1635082.61,1,2026-02-20 02:00:00+00:00,237.55
Sports,KXNCAAMBTOTAL-26FEB05UCRVCSF,UC Riverside at Cal State Fullerton: Total Points,KXNCAAMBTOTAL-26FEB05UCRVCSF-140,Over 140.5 points scored,0.77,0.87,0.82,0.0,0.1,1631534.35,1,2026-02-20 03:00:00+00:00,238.55
