category,event_ticker,event_title,market_ticker,market_title,yes_bid,yes_ask,mid_yes,last_price,close_time,time_to_close_hours
Sports,KXNHLGAME-26FEB05FLATB,Florida at Tampa Bay,KXNHLGAME-26FEB05FLATB-FLA,FLA Panthers,0.0,0.01,0.01,0.01,2026-02-20 00:30:00+00:00,236.28
Sports,KXNCAAMBGAME-26FEB05MEMUAB,Memphis at UAB,KXNCAAMBGAME-26FEB05MEMUAB-UAB,UAB,0.29,0.3,0.295,0.3,2026-02-20 02:00:00+00:00,237.78
Sports,KXNCAAMBGAME-26FEB05OSUMD,Ohio St. at Maryland,KXNCAAMBGAME-26FEB05OSUMD-MD,Maryland,0.07,0.08,0.075,0.07,2026-02-20 01:30:00+00:00,237.28
Sports,KXATPCHALLENGERMATCH-26FEB05UGODIA,Ugo Carabelli vs Diaz Acosta,KXATPCHALLENGERMATCH-26FEB05UGODIA-UGO,Camilo Ugo Carabelli,0.19,0.26,0.225,0.26,2026-02-19 22:40:00+00:00,234.45
Sports,KXNHLGAME-26FEB05NSHWSH,Nashville at Washington,KXNHLGAME-26FEB05NSHWSH-WSH,WSH Capitals,0.98,0.99,0.985,0.98,2026-02-20 00:00:00+00:00,235.78
Sports,KXNHLGAME-26FEB05FLATB,Florida at Tampa Bay,KXNHLGAME-26FEB05FLATB-TB,TB Lightning,0.99,1.0,0.995,0.99,2026-02-20 00:30:00+00:00,236.28
Sports,KXNBATOTAL-26FEB05CHAHOU,Charlotte at Houston: Total Points,KXNBATOTAL-26FEB05CHAHOU-217,Over 217.5 points scored,0.69,0.77,0.73,0.8,2026-02-20 01:00:00+00:00,236.78
Sports,KXATPCHALLENGERMATCH-26FEB05BOLUCH,Bolt vs Uchiyama,KXATPCHALLENGERMATCH-26FEB05BOLUCH-BOL,Alex Bolt,0.42,0.45,0.435,0.42,2026-02-20 01:00:00+00:00,236.78
Sports,KXATPCHALLENGERMATCH-26FEB05BOLUCH,Bolt vs Uchiyama,KXATPCHALLENGERMATCH-26FEB05BOLUCH-UCH,Yasutaka Uchiyama,0.56,0.57,0.565,0.59,2026-02-20 01:00:00+00:00,236.78
Sports,KXNCAAMBGAME-26FEB05MEMUAB,Memphis at UAB,KXNCAAMBGAME-26FEB05MEMUAB-MEM,Memphis,0.67,0.68,0.675,0.68,2026-02-20 02:00:00+00:00,237.78
Sports,KXNCAAMBGAME-26FEB05ACUVU,Abilene Christian at Utah Valley,KXNCAAMBGAME-26FEB05ACUVU-AC,Abilene Christian,0.0,0.01,0.01,0.01,2026-02-20 01:00:00+00:00,236.78
Sports,KXNBASPREAD-26FEB05GSWPHX,Golden State at Phoenix: Spread,KXNBASPREAD-26FEB05GSWPHX-PHX6,Phoenix wins by over 6.5 Points,0.46,0.47,0.465,0.47,2026-02-20 03:00:00+00:00,238.78
Sports,KXNCAAMBGAME-26FEB05DENNDSU,Denver at North Dakota St.,KXNCAAMBGAME-26FEB05DENNDSU-NDSU,North Dakota St.,0.09,0.12,0.105,0.1,2026-02-20 01:00:00+00:00,236.78
Sports,KXNBAGAME-26FEB05GSWPHX,Golden State at Phoenix,KXNBAGAME-26FEB05GSWPHX-GSW,Golden State,0.34,0.35,0.345,0.35,2026-02-20 03:00:00+00:00,238.78
Sports,KXNBATOTAL-26FEB05UTAATL,Utah at Atlanta: Total Points,KXNBATOTAL-26FEB05UTAATL-243,Over 243.5 points scored,0.12,0.45,0.285,0.12,2026-02-20 00:30:00+00:00,236.28
Sports,KXNBASPREAD-26FEB05SASDAL,San Antonio at Dallas: Spread,KXNBASPREAD-26FEB05SASDAL-SAS8,San Antonio wins by over 8.5 Points,0.66,0.67,0.665,0.66,2026-02-20 01:30:00+00:00,237.28
Sports,KXNCAAMBSPREAD-26FEB05OSUMD,Ohio St. at Maryland: Spread,KXNCAAMBSPREAD-26FEB05OSUMD-OSU7,Ohio St. wins by over 7.5 Points,0.74,0.75,0.745,0.74,2026-02-20 01:30:00+00:00,237.28
Sports,KXNBASPREAD-26FEB05PHILAL,Philadelphia at Los Angeles L: Spread,KXNBASPREAD-26FEB05PHILAL-LAL4,Los Angeles L wins by over 4.5 Points,0.41,0.43,0.42,0.43,2026-02-20 03:00:00+00:00,238.78
Sports,KXNBATOTAL-26FEB05GSWPHX,Golden State at Phoenix: Total Points,KXNBATOTAL-26FEB05GSWPHX-214,Over 214.5 points scored,0.47,0.48,0.475,0.48,2026-02-20 03:00:00+00:00,238.78
Sports,KXNCAAMBGAME-26FEB05CITSAM,The Citadel at Samford,KXNCAAMBGAME-26FEB05CITSAM-CIT,The Citadel,0.0,0.01,0.01,0.01,2026-02-20 01:00:00+00:00,236.78
Sports,KXNHLGAME-26FEB05LAVGK,Los Angeles at Vegas,KXNHLGAME-26FEB05LAVGK-VGK,VGK Golden Knights,0.56,0.57,0.565,0.57,2026-02-20 03:00:00+00:00,238.78
Sports,KXNBASPREAD-26FEB05CHAHOU,Charlotte at Houston: Spread,KXNBASPREAD-26FEB05CHAHOU-CHA6,Charlotte wins by over 6.5 Points,0.66,0.7,0.68,0.7,2026-02-20 01:00:00+00:00,236.78
Sports,KXNBATOTAL-26FEB05SASDAL,San Antonio at Dallas: Total Points,KXNBATOTAL-26FEB05SASDAL-230,Over 230.5 points scored,0.85,0.95,0.9,0.94,2026-02-20 01:30:00+00:00,237.28
Sports,KXNCAAMBGAME-26FEB05LINWUALR,Lindenwood at Little Rock,KXNCAAMBGAME-26FEB05LINWUALR-LINW,Lindenwood,0.63,0.65,0.64,0.65,2026-02-20 01:00:00+00:00,236.78
Sports,KXNHLTOTAL-26FEB05PITBUF,Pittsburgh at Buffalo: Total Points,KXNHLTOTAL-26FEB05PITBUF-6,Over 6.5 goals scored,0.52,0.7,0.61,0.65,2026-02-20 00:00:00+00:00,235.78
Sports,KXNBASPREAD-26FEB05CHITOR,Chicago at Toronto: Spread,KXNBASPREAD-26FEB05CHITOR-TOR11,Toronto wins by over 11.5 Points,0.72,0.83,0.775,0.84,2026-02-20 00:30:00+00:00,236.28
Sports,KXNCAAMBGAME-26FEB05NEOMUND,Omaha at North Dakota,KXNCAAMBGAME-26FEB05NEOMUND-UND,North Dakota,0.35,0.36,0.355,0.35,2026-02-20 01:00:00+00:00,236.78
Sports,KXNBASPREAD-26FEB05PHILAL,Philadelphia at Los Angeles L: Spread,KXNBASPREAD-26FEB05PHILAL-LAL1,Los Angeles L wins by over 1.5 Points,0.53,0.54,0.535,0.54,2026-02-20 03:00:00+00:00,238.78
Sports,KXNHLGAME-26FEB05LAVGK,Los Angeles at Vegas,KXNHLGAME-26FEB05LAVGK-LA,LA Kings,0.44,0.45,0.445,0.45,2026-02-20 03:00:00+00:00,238.78
Sports,KXNBATOTAL-26FEB05CHITOR,Chicago at Toronto: Total Points,KXNBATOTAL-26FEB05CHITOR-241,Over 241.5 points scored,0.0,0.04,0.04,0.04,2026-02-20 00:30:00+00:00,236.28
Sports,KXNCAAMBGAME-26FEB05EWUMONT,Eastern Washington at Montana,KXNCAAMBGAME-26FEB05EWUMONT-MONT,Montana,0.73,0.74,0.735,0.77,2026-02-20 02:00:00+00:00,237.78
Sports,KXNBATOTAL-26FEB05CHITOR,Chicago at Toronto: Total Points,KXNBATOTAL-26FEB05CHITOR-226,Over 226.5 points scored,0.75,0.89,0.82,0.75,2026-02-20 00:30:00+00:00,236.28
Sports,KXNBASPREAD-26FEB05CHITOR,Chicago at Toronto: Spread,KXNBASPREAD-26FEB05CHITOR-TOR5,Toronto wins by over 5.5 Points,0.99,1.0,0.995,0.99,2026-02-20 00:30:00+00:00,236.28
Sports,KXNCAAMBGAME-26FEB05UCSBUCD,UC Santa Barbara at UC Davis,KXNCAAMBGAME-26FEB05UCSBUCD-UCSB,UC Santa Barbara,0.4,0.42,0.41,0.41,2026-02-20 02:00:00+00:00,237.78
Sports,KXNBASPREAD-26FEB05UTAATL,Utah at Atlanta: Spread,KXNBASPREAD-26FEB05UTAATL-ATL7,Atlanta wins by over 7.5 Points,0.04,0.17,0.105,0.04,2026-02-20 00:30:00+00:00,236.28
Sports,KXNBATOTAL-26FEB05UTAATL,Utah at Atlanta: Total Points,KXNBATOTAL-26FEB05UTAATL-246,Over 246.5 points scored,0.16,0.31,0.235,0.19,2026-02-20 00:30:00+00:00,236.28
Sports,KXNBASPREAD-26FEB05CHITOR,Chicago at Toronto: Spread,KXNBASPREAD-26FEB05CHITOR-TOR14,Toronto wins by over 14.5 Points,0.52,0.56,0.54,0.52,2026-02-20 00:30:00+00:00,236.28
Sports,KXNBASPREAD-26FEB05UTAATL,Utah at Atlanta: Spread,KXNBASPREAD-26FEB05UTAATL-ATL1,Atlanta wins by over 1.5 Points,0.22,0.4,0.31,0.47,2026-02-20 00:30:00+00:00,236.28
Sports,KXNBASPREAD-26FEB05CHAHOU,Charlotte at Houston: Spread,KXNBASPREAD-26FEB05CHAHOU-CHA3,Charlotte wins by over 3.5 Points,0.78,0.79,0.785,0.77,2026-02-20 01:00:00+00:00,236.78
Sports,KXNCAAMBGAME-26FEB05UCSBUCD,UC Santa Barbara at UC Davis,KXNCAAMBGAME-26FEB05UCSBUCD-UCD,UC Davis,0.58,0.6,0.59,0.6,2026-02-20 02:00:00+00:00,237.78
Sports,KXATPCHALLENGERMATCH-26FEB05UGODIA,Ugo Carabelli vs Diaz Acosta,KXATPCHALLENGERMATCH-26FEB05UGODIA-DIA,Facundo Diaz Acosta,0.73,0.78,0.755,0.78,2026-02-19 22:40:00+00:00,234.45
Sports,KXNHLTOTAL-26FEB05FLATB,Florida at Tampa Bay: Total Points,KXNHLTOTAL-26FEB05FLATB-5,Over 5.5 goals scored,0.33,0.72,0.525,0.41,2026-02-20 00:30:00+00:00,236.28
Sports,KXNBASPREAD-26FEB05UTAATL,Utah at Atlanta: Spread,KXNBASPREAD-26FEB05UTAATL-ATL4,Atlanta wins by over 4.5 Points,0.07,0.38,0.225,0.09,2026-02-20 00:30:00+00:00,236.28
Sports,KXNCAAWBGAME-26FEB05NDSUUMKC,North Dakota St. at Kansas City,KXNCAAWBGAME-26FEB05NDSUUMKC-UMKC,Kansas City,0.0,0.01,0.01,0.01,2026-02-20 01:00:00+00:00,236.78
Sports,KXNBATOTAL-26FEB05UTAATL,Utah at Atlanta: Total Points,KXNBATOTAL-26FEB05UTAATL-240,Over 240.5 points scored,0.34,0.45,0.395,0.21,2026-02-20 00:30:00+00:00,236.28
Sports,KXNBATOTAL-26FEB05UTAATL,Utah at Atlanta: Total Points,KXNBATOTAL-26FEB05UTAATL-249,Over 249.5 points scored,0.08,0.11,0.095,0.08,2026-02-20 00:30:00+00:00,236.28
Sports,KXNBATOTAL-26FEB05CHAHOU,Charlotte at Houston: Total Points,KXNBATOTAL-26FEB05CHAHOU-220,Over 220.5 points scored,0.64,0.69,0.665,0.92,2026-02-20 01:00:00+00:00,236.78
Sports,KXNCAAMBGAME-26FEB05USIUTM,Southern Indiana at Tennessee-Martin,KXNCAAMBGAME-26FEB05USIUTM-UTM,Tennessee-Martin,0.98,0.99,0.985,0.99,2026-02-20 01:30:00+00:00,237.28
Sports,KXNBASPREAD-26FEB05UTAATL,Utah at Atlanta: Spread,KXNBASPREAD-26FEB05UTAATL-UTA2,Utah wins by over 2.5 Points,0.54,0.63,0.585,0.53,2026-02-20 00:30:00+00:00,236.28
Sports,KXNBASPREAD-26FEB05CHAHOU,Charlotte at Houston: Spread,KXNBASPREAD-26FEB05CHAHOU-HOU6,Houston wins by over 6.5 Points,0.04,0.05,0.045,0.06,2026-02-20 01:00:00+00:00,236.78
Sports,KXNBASPREAD-26FEB05UTAATL,Utah at Atlanta: Spread,KXNBASPREAD-26FEB05UTAATL-ATL10,Atlanta wins by over 10.5 Points,0.01,0.28,0.145,0.02,2026-02-20 00:30:00+00:00,236.28
Sports,KXNBATOTAL-26FEB05CHAHOU,Charlotte at Houston: Total Points,KXNBATOTAL-26FEB05CHAHOU-223,Over 223.5 points scored,0.48,0.52,0.5,0.48,2026-02-20 01:00:00+00:00,236.78
Sports,KXNBATOTAL-26FEB05PHILAL,Philadelphia at Los Angeles L: Total Points,KXNBATOTAL-26FEB05PHILAL-235,Over 235.5 points scored,0.51,0.52,0.515,0.51,2026-02-20 03:00:00+00:00,238.78
Sports,KXNCAAMBGAME-26FEB05NEOMUND,Omaha at North Dakota,KXNCAAMBGAME-26FEB05NEOMUND-NEOM,Omaha,0.64,0.65,0.645,0.64,2026-02-20 01:00:00+00:00,236.78
Sports,KXNHLTOTAL-26FEB05FLATB,Florida at Tampa Bay: Total Points,KXNHLTOTAL-26FEB05FLATB-6,Over 6.5 goals scored,0.19,0.63,0.41,0.18,2026-02-20 00:30:00+00:00,236.28
Sports,KXNCAAMBSPREAD-26FEB05MEMUAB,Memphis at UAB: Spread,KXNCAAMBSPREAD-26FEB05MEMUAB-UAB1,UAB wins by over 1.5 Points,0.3,0.35,0.325,0.31,2026-02-20 02:00:00+00:00,237.78
Sports,KXNCAAMBSPREAD-26FEB05OSUMD,Ohio St. at Maryland: Spread,KXNCAAMBSPREAD-26FEB05OSUMD-OSU13,Ohio St. wins by over 13.5 Points,0.5,0.51,0.505,0.5,2026-02-20 01:30:00+00:00,237.28
Sports,KXNCAAMBSPREAD-26FEB05ELONHAMP,Elon at Hampton: Spread,KXNCAAMBSPREAD-26FEB05ELONHAMP-ELON1,Elon wins by over 1.5 Points,0.0,0.01,0.01,0.01,2026-02-20 00:00:00+00:00,235.78
Sports,KXNCAAMBGAME-26FEB05IDHOMTST,Idaho at Montana St.,KXNCAAMBGAME-26FEB05IDHOMTST-IDHO,Idaho,0.18,0.19,0.185,0.19,2026-02-20 02:00:00+00:00,237.78
Sports,KXNCAAMBGAME-26FEB05CITSAM,The Citadel at Samford,KXNCAAMBGAME-26FEB05CITSAM-SAM,Samford,0.99,1.0,0.995,0.99,2026-02-20 01:00:00+00:00,236.78
Sports,KXNBATOTAL-26FEB05CHITOR,Chicago at Toronto: Total Points,KXNBATOTAL-26FEB05CHITOR-238,Over 238.5 points scored,0.01,0.27,0.14,0.01,2026-02-20 00:30:00+00:00,236.28
Sports,KXNCAAMBGAME-26FEB05ACUVU,Abilene Christian at Utah Valley,KXNCAAMBGAME-26FEB05ACUVU-UVU,Utah Valley,0.99,1.0,0.995,0.99,2026-02-20 01:00:00+00:00,236.78
Sports,KXNCAAMBTOTAL-26FEB05OSUMD,Ohio St. at Maryland: Total Points,KXNCAAMBTOTAL-26FEB05OSUMD-151,Over 151.5 points scored,0.48,0.49,0.485,0.48,2026-02-20 01:30:00+00:00,237.28
Sports,KXNBASPREAD-26FEB05SASDAL,San Antonio at Dallas: Spread,KXNBASPREAD-26FEB05SASDAL-SAS5,San Antonio wins by over 5.5 Points,0.77,0.78,0.775,0.77,2026-02-20 01:30:00+00:00,237.28
Sports,KXNBASPREAD-26FEB05GSWPHX,Golden State at Phoenix: Spread,KXNBASPREAD-26FEB05GSWPHX-PHX3,Phoenix wins by over 3.5 Points,0.58,0.59,0.585,0.59,2026-02-20 03:00:00+00:00,238.78
Sports,KXNCAAMBGAME-26FEB05LINWUALR,Lindenwood at Little Rock,KXNCAAMBGAME-26FEB05LINWUALR-UALR,Little Rock,0.38,0.39,0.385,0.38,2026-02-20 01:00:00+00:00,236.78
Sports,KXNHLTOTAL-26FEB05NSHWSH,Nashville at Washington: Total Points,KXNHLTOTAL-26FEB05NSHWSH-6,Over 6.5 goals scored,0.6,0.81,0.705,0.6,2026-02-20 00:00:00+00:00,235.78
Sports,KXNBATOTAL-26FEB05UTAATL,Utah at Atlanta: Total Points,KXNBATOTAL-26FEB05UTAATL-252,Over 252.5 points scored,0.1,0.23,0.165,0.24,2026-02-20 00:30:00+00:00,236.28
Sports,KXNHLTOTAL-26FEB05LAVGK,Los Angeles at Vegas: Total Points,KXNHLTOTAL-26FEB05LAVGK-5,Over 5.5 goals scored,0.53,0.54,0.535,0.54,2026-02-20 03:00:00+00:00,238.78
Sports,KXNBATOTAL-26FEB05UTAATL,Utah at Atlanta: Total Points,KXNBATOTAL-26FEB05UTAATL-237,Over 237.5 points scored,0.58,0.95,0.765,0.58,2026-02-20 00:30:00+00:00,236.28
Sports,KXNBATOTAL-26FEB05CHAHOU,Charlotte at Houston: Total Points,KXNBATOTAL-26FEB05CHAHOU-226,Over 226.5 points scored,0.4,0.47,0.435,0.49,2026-02-20 01:00:00+00:00,236.78
Sports,KXNCAAMBGAME-26FEB05MORESEMO,Morehead St. at Southeast Missouri St.,KXNCAAMBGAME-26FEB05MORESEMO-MORE,Morehead St.,0.02,0.03,0.025,0.06,2026-02-20 01:30:00+00:00,237.28
Sports,KXNCAAMBGAME-26FEB05IDHOMTST,Idaho at Montana St.,KXNCAAMBGAME-26FEB05IDHOMTST-MTST,Montana St.,0.81,0.82,0.815,0.84,2026-02-20 02:00:00+00:00,237.78
Sports,KXNBAALLSTARS-26,Pro Basketball All Stars?,KXNBAALLSTARS-26-RWES,Russell Westbrook,0.01,0.03,0.02,0.04,2026-02-17 15:00:00+00:00,178.78
Sports,KXNHLSPREAD-26FEB05PITBUF,Pittsburgh at Buffalo: Spread,KXNHLSPREAD-26FEB05PITBUF-BUF1,Buffalo wins by over 1.5 goals,0.0,0.01,0.01,0.01,2026-02-20 00:00:00+00:00,235.78
Sports,KXNBASPREAD-26FEB05CHITOR,Chicago at Toronto: Spread,KXNBASPREAD-26FEB05CHITOR-TOR23,Toronto wins by over 23.5 Points,0.0,0.14,0.01,0.01,2026-02-20 00:30:00+00:00,236.28
Sports,KXNCAAMBGAME-26FEB05EIUTNST,Eastern Illinois at Tennessee St.,KXNCAAMBGAME-26FEB05EIUTNST-EIU,Eastern Illinois,0.21,0.23,0.22,0.21,2026-02-20 01:30:00+00:00,237.28
Sports,KXNBATOTAL-26FEB05CHITOR,Chicago at Toronto: Total Points,KXNBATOTAL-26FEB05CHITOR-223,Over 223.5 points scored,0.59,0.99,0.79,0.58,2026-02-20 00:30:00+00:00,236.28
Sports,KXNCAAWBGAME-26FEB05LSUTEX,LSU at Texas,KXNCAAWBGAME-26FEB05LSUTEX-LSU,LSU,0.42,0.45,0.435,0.41,2026-02-20 02:00:00+00:00,237.78
Sports,KXHOLEINONE-26-WM,Will there be a hole-in-one on Hole 16 at the WM Phoenix Open?,KXHOLEINONE-26-WM-1,1+ hole-in-ones on Hole 16,0.24,0.26,0.25,0.26,2026-02-19 11:00:00+00:00,222.78
Sports,KXNBASPREAD-26FEB05CHAHOU,Charlotte at Houston: Spread,KXNBASPREAD-26FEB05CHAHOU-HOU15,Houston wins by over 15.5 Points,0.01,0.03,0.02,0.01,2026-02-20 01:00:00+00:00,236.78
Sports,KXNBATOTAL-26FEB05PHILAL,Philadelphia at Los Angeles L: Total Points,KXNBATOTAL-26FEB05PHILAL-232,Over 232.5 points scored,0.58,0.61,0.595,0.61,2026-02-20 03:00:00+00:00,238.78
Sports,KXNBASPREAD-26FEB05CHAHOU,Charlotte at Houston: Spread,KXNBASPREAD-26FEB05CHAHOU-CHA9,Charlotte wins by over 9.5 Points,0.49,0.5,0.495,0.5,2026-02-20 01:00:00+00:00,236.78
Sports,KXNCAAMBGAME-26FEB05UNCOWEB,Northern Colorado at Weber St.,KXNCAAMBGAME-26FEB05UNCOWEB-WEB,Weber St.,0.21,0.22,0.215,0.21,2026-02-20 02:00:00+00:00,237.78
Sports,KXNBATOTAL-26FEB05CHAHOU,Charlotte at Houston: Total Points,KXNBATOTAL-26FEB05CHAHOU-229,Over 229.5 points scored,0.3,0.41,0.355,0.46,2026-02-20 01:00:00+00:00,236.78
Sports,KXNBASPREAD-26FEB05SASDAL,San Antonio at Dallas: Spread,KXNBASPREAD-26FEB05SASDAL-SAS11,San Antonio wins by over 11.5 Points,0.53,0.54,0.535,0.54,2026-02-20 01:30:00+00:00,237.28
Sports,KXNBAALLSTARS-26,Pro Basketball All Stars?,KXNBAALLSTARS-26-MPOR,Michael Porter Jr.,0.05,0.18,0.115,0.13,2026-02-17 15:00:00+00:00,178.78
Sports,KXNBASPREAD-26FEB05CHAHOU,Charlotte at Houston: Spread,KXNBASPREAD-26FEB05CHAHOU-CHA12,Charlotte wins by over 12.5 Points,0.34,0.35,0.345,0.32,2026-02-20 01:00:00+00:00,236.78
Sports,KXNCAAMBSPREAD-26FEB05IDHOMTST,Idaho at Montana St.: Spread,KXNCAAMBSPREAD-26FEB05IDHOMTST-MTST3,Montana St. wins by over 3.5 Points,0.68,0.74,0.71,0.81,2026-02-20 02:00:00+00:00,237.78
Sports,KXNHLSPREAD-26FEB05LAVGK,Los Angeles at Vegas: Spread,KXNHLSPREAD-26FEB05LAVGK-VGK1,Vegas wins by over 1.5 goals,0.32,0.35,0.335,0.32,2026-02-20 03:00:00+00:00,238.78
Sports,KXNCAAMBSPREAD-26FEB05UCSBUCD,UC Santa Barbara at UC Davis: Spread,KXNCAAMBSPREAD-26FEB05UCSBUCD-UCSB2,UC Santa Barbara wins by over 2.5 Points,0.3,0.36,0.33,0.34,2026-02-20 02:00:00+00:00,237.78
Sports,KXNBATOTAL-26FEB05CHITOR,Chicago at Toronto: Total Points,KXNBATOTAL-26FEB05CHITOR-229,Over 229.5 points scored,0.26,0.42,0.34,0.69,2026-02-20 00:30:00+00:00,236.28
Sports,KXNBATOTAL-26FEB05CHITOR,Chicago at Toronto: Total Points,KXNBATOTAL-26FEB05CHITOR-235,Over 235.5 points scored,0.12,0.2,0.16,0.12,2026-02-20 00:30:00+00:00,236.28
Sports,KXNCAAMBSPREAD-26FEB05OSUMD,Ohio St. at Maryland: Spread,KXNCAAMBSPREAD-26FEB05OSUMD-OSU4,Ohio St. wins by over 4.5 Points,0.78,0.9,0.84,0.85,2026-02-20 01:30:00+00:00,237.28
Sports,KXNBAALLSTARS-26,Pro Basketball All Stars?,KXNBAALLSTARS-26-JEMB,Joel Embiid,0.16,0.89,0.525,0.25,2026-02-17 15:00:00+00:00,178.78
Sports,KXLIGUE1GAME-26FEB06FCMLIL,Metz vs Lille,KXLIGUE1GAME-26FEB06FCMLIL-LIL,Lille,0.59,0.6,0.595,0.6,2026-02-20 19:45:00+00:00,255.53
Sports,KXNHLSPREAD-26FEB05FLATB,Florida at Tampa Bay: Spread,KXNHLSPREAD-26FEB05FLATB-TB1,Tampa Bay wins by over 1.5 goals,0.69,0.97,0.83,0.97,2026-02-20 00:30:00+00:00,236.28
Sports,KXNBATOTAL-26FEB05SASDAL,San Antonio at Dallas: Total Points,KXNBATOTAL-26FEB05SASDAL-227,Over 227.5 points scored,0.94,0.97,0.955,0.94,2026-02-20 01:30:00+00:00,237.28
Sports,KXEPLGAME-26FEB06LEENFO,Leeds United vs Nottingham,KXEPLGAME-26FEB06LEENFO-NFO,Nottingham,0.27,0.28,0.275,0.28,2026-02-20 20:00:00+00:00,255.78
Sports,KXNBAPTS-26FEB05SASDAL,San Antonio at Dallas: Points,KXNBAPTS-26FEB05SASDAL-DALCFLAGG32-25,Cooper Flagg: 25+,0.0,0.43,0.43,0.43,2026-02-20 01:30:00+00:00,237.28
Sports,KXNBASPREAD-26FEB05UTAATL,Utah at Atlanta: Spread,KXNBASPREAD-26FEB05UTAATL-ATL13,Atlanta wins by over 13.5 Points,0.01,0.11,0.06,0.13,2026-02-20 00:30:00+00:00,236.28
Sports,KXNHLTOTAL-26FEB05PITBUF,Pittsburgh at Buffalo: Total Points,KXNHLTOTAL-26FEB05PITBUF-5,Over 5.5 goals scored,0.99,1.0,0.995,0.99,2026-02-20 00:00:00+00:00,235.78
Sports,KXNCAAMBGAME-26FEB05CSBUCI,Cal State Bakersfield at UC Irvine,KXNCAAMBGAME-26FEB05CSBUCI-CSB,Cal State Bakersfield,0.07,0.08,0.075,0.08,2026-02-20 03:00:00+00:00,238.78
Sports,KXNBASPREAD-26FEB05CHITOR,Chicago at Toronto: Spread,KXNBASPREAD-26FEB05CHITOR-TOR2,Toronto wins by over 2.5 Points,0.99,1.0,0.995,0.99,2026-02-20 00:30:00+00:00,236.28
Sports,KXNCAAMBGAME-26FEB05UTAUTU,UT Arlington at Utah Tech,KXNCAAMBGAME-26FEB05UTAUTU-UTA,UT Arlington,0.53,0.54,0.535,0.54,2026-02-20 02:00:00+00:00,237.78
Sports,KXNCAAWBGAME-26JAN31ARSTGASO,Arkansas St. at Georgia Southern,KXNCAAWBGAME-26JAN31ARSTGASO-ARST,Arkansas St.,0.38,0.53,0.455,0.42,2026-02-14 19:00:00+00:00,110.78
Sports,KXNCAAMBGAME-26FEB05EIUTNST,Eastern Illinois at Tennessee St.,KXNCAAMBGAME-26FEB05EIUTNST-TNST,Tennessee St.,0.77,0.78,0.775,0.77,2026-02-20 01:30:00+00:00,237.28
Sports,KXNBAALLSTARS-26,Pro Basketball All Stars?,KXNBAALLSTARS-26-ASEN,Alperen Sengun,0.78,0.93,0.855,0.79,2026-02-17 15:00:00+00:00,178.78
Sports,KXNBAALLSTARS-26,Pro Basketball All Stars?,KXNBAALLSTARS-26-JGID,Josh Giddey,0.0,0.1,0.1,0.1,2026-02-17 15:00:00+00:00,178.78
Sports,KXNBAALLSTARS-26,Pro Basketball All Stars?,KXNBAALLSTARS-26-JHAR,James Harden,0.0,0.07,0.07,0.07,2026-02-17 15:00:00+00:00,178.78
Sports,KXNBASPREAD-26FEB05CHAHOU,Charlotte at Houston: Spread,KXNBASPREAD-26FEB05CHAHOU-HOU18,Houston wins by over 18.5 Points,0.01,0.04,0.025,0.01,2026-02-20 01:00:00+00:00,236.78
Sports,KXNBATOTAL-26FEB05UTAATL,Utah at Atlanta: Total Points,KXNBATOTAL-26FEB05UTAATL-255,Over 255.5 points scored,0.07,0.22,0.145,0.06,2026-02-20 00:30:00+00:00,236.28
Sports,KXNBATOTAL-26FEB05CHAHOU,Charlotte at Houston: Total Points,KXNBATOTAL-26FEB05CHAHOU-211,Over 211.5 points scored,0.89,0.94,0.915,0.97,2026-02-20 01:00:00+00:00,236.78
Sports,KXNCAAMBTOTAL-26FEB05CITSAM,The Citadel at Samford: Total Points,KXNCAAMBTOTAL-26FEB05CITSAM-142,Over 142.5 points scored,0.73,0.8,0.765,0.57,2026-02-20 01:00:00+00:00,236.78
Sports,KXNBAALLSTARS-26,Pro Basketball All Stars?,KXNBAALLSTARS-26-AREA,Austin Reaves,0.0,0.06,0.06,0.06,2026-02-17 15:00:00+00:00,178.78
Sports,KXNBATOTAL-26FEB05CHITOR,Chicago at Toronto: Total Points,KXNBATOTAL-26FEB05CHITOR-232,Over 232.5 points scored,0.15,0.18,0.165,0.19,2026-02-20 00:30:00+00:00,236.28
Sports,KXNCAAMBGAME-26FEB05UNCOWEB,Northern Colorado at Weber St.,KXNCAAMBGAME-26FEB05UNCOWEB-UNCO,Northern Colorado,0.8,0.81,0.805,0.81,2026-02-20 02:00:00+00:00,237.78
Sports,KXNBATOTAL-26FEB05SASDAL,San Antonio at Dallas: Total Points,KXNBATOTAL-26FEB05SASDAL-239,Over 239.5 points scored,0.79,0.8,0.795,0.79,2026-02-20 01:30:00+00:00,237.28
Sports,KXNHLTOTAL-26FEB05NSHWSH,Nashville at Washington: Total Points,KXNHLTOTAL-26FEB05NSHWSH-5,Over 5.5 goals scored,0.99,1.0,0.995,0.99,2026-02-20 00:00:00+00:00,235.78
Sports,KXNBASPREAD-26FEB05CHITOR,Chicago at Toronto: Spread,KXNBASPREAD-26FEB05CHITOR-TOR17,Toronto wins by over 17.5 Points,0.11,0.22,0.165,0.15,2026-02-20 00:30:00+00:00,236.28
Sports,KXNCAAMBSPREAD-26FEB05NAUIDST,Northern Arizona at Idaho St.: Spread,KXNCAAMBSPREAD-26FEB05NAUIDST-IDST8,Idaho St. wins by over 8.5 Points,0.1,0.23,0.165,0.23,2026-02-20 02:00:00+00:00,237.78
